objectid,parentid,title,architect,credits,credits_before,credits_after,caption_before,caption_after,date_construction,date_destruction,description,subjects,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,caption,notes,region,image_alt_text,object_transcript
obj_109,,Residential House on Vokzalna Square,Ivan Zayichenko,Semen Shyrochyn,Semen Shyrochyn,suspilne.media,Building in 2008,Morning after the attack,1950-s,2024-04-19,"The residential building on Vokzalna Square was one of the most important elements of the square's neoclassical architectural ensemble. Originally planned with a high tower, it sits at the terminus of city’s central avenue. A missile strike on the building destroyed its top floor.",residential,Дніпро / Dnipro,48.475386,35.015442,,dnipro_vokzalna_shyrochyn,record,,,,,multiple,/objects/dnipro_vokzalna_shyrochyn.jpg,/objects/small/dnipro_vokzalna_shyrochyn_sm.jpg,/objects/thumbs/dnipro_vokzalna_shyrochyn_th.jpg,,damaged,Dnipropetrovsk oblast,,
obj_112,,Residential House on Marat Street,,Volodymyr Kotsarenko,Volodymyr Kotsarenko,Ilya Andreev,Building before the war,"Ruined building, 2022",1950-s,2023-02-01,"The residential building at 13 Marata Street was a part of an ensemble of four buildings, with three of the four built in the 1950s. Despite its overall modesty, the facade was adorned with a number of neoclassical decorations. After a missile strike, several sections of the building were destroyed. Residents want the building to be restored, but city authorities doubt this is possible.",residential,Краматорськ / Kramatorsk,48.742019,37.591763,,kramatorsk_marata13_volodymyr_kotsarenko,record,,,,,multiple,/objects/kramatorsk_marata13_volodymyr_kotsarenko.jpg,/objects/small/kramatorsk_marata13_volodymyr_kotsarenko_sm.jpg,/objects/thumbs/kramatorsk_marata13_volodymyr_kotsarenko_th.jpg,,in ruins,Donetsk oblast,,
obj_115,,Okhmadyt Children's Hospital,Vladimir Nikolaev,village.com.ua,village.com.ua,moz.gov.ua,"Old photo of the building, early XX century","Hospital after the attack, 2024",1901-1903,2024-07-08,"The children's hospital was built during the Russian Empire with funds from philanthropist Nikola Tereshchenko. The missile's impact on the hospital building was one of the most famous and egregious cases of a strike on civilian infrastructure during Russian-Ukrainian war. Despite non-critical damage and many donations, it is unknown whether the historic building will be restored.",hospital,Київ / Kyiv,50.450393,30.481876,,kyiv_okhmadyt_village_com_ua,record,,,,,multiple,/objects/kyiv_okhmadyt_village_com_ua.jpg,/objects/small/kyiv_okhmadyt_village_com_ua_sm.jpg,/objects/thumbs/kyiv_okhmadyt_village_com_ua_th.jpg,,in ruins,Kyiv,,
obj_118,,Palace of Culture,Zoya Brod,Semen Shyrochyn,Semen Shyrochyn,Yulia Mashuta,"Building before the war, 2017","Ruined building, 2022",1954,2022-03-17,"Irpin's Palace of Culture was built by order of the Bucha brick factory. It was the city's most monumental building, decorated with sculpture and neoclassical decorations. As a result of the shelling, the building was damaged, and there is an ongoing discussion about the possibility of its restoration.",public,Ірпінь / Irpin,50.533906,30.233326,,irpin_club_shyrochyn,record,,,,,multiple,/objects/irpin_club_shyrochyn.jpg,/objects/small/irpin_club_shyrochyn_sm.jpg,/objects/thumbs/irpin_club_shyrochyn_th.jpg,,in ruins,Kyiv oblast,,
img_002,obj_001,Railway Station,V. M. Syromyatnikov,pastvu.com,pastvu.com,,Kostyantynivka Railway station in 1949,,1949,,,,Костянтинівка / Kostyantynivka,,,,kostyantynivka_railway_pastvu,Image;StillImage,image/jpeg,,,,image,/objects/kostyantynivka_railway_pastvu.jpg,/objects/small/kostyantynivka_railway_pastvu_sm.jpg,/objects/thumbs/kostyantynivka_railway_pastvu_th.jpg,Kostyantynivka Railway station in 1949,,,Kostyantynivka Railway station in 1949,
img_003,obj_001,Railway Station,V. M. Syromyatnikov,Serhii Leshchenko,,Serhii Leshchenko,,Ruins of Kostyantynivka Railway station,,2024-02-25,,,Костянтинівка / Kostyantynivka,,,,kostyantynivka_railway_serhii_leshchenko,Image;StillImage,image/jpeg,,,,image,/objects/kostyantynivka_railway_serhii_leshchenko.jpg,/objects/small/kostyantynivka_railway_serhii_leshchenko_sm.jpg,/objects/thumbs/kostyantynivka_railway_serhii_leshchenko_th.jpg,Ruins of Kostyantynivka Railway station,,,Ruins of Kostyantynivka Railway station,
img_005,obj_004,Tarnovsky House (Youth Library),,Semen Shyrochyn,Semen Shyrochyn,,Main façade of the Chernihiv youth library before the war,,1900-1901,,,,Чернігів / Chernihiv,,,,chernihiv_library_semen_shyrochyn,Image;StillImage,image/jpeg,,,,image,/objects/chernihiv_library_semen_shyrochyn.jpg,/objects/small/chernihiv_library_semen_shyrochyn_sm.jpg,/objects/thumbs/chernihiv_library_semen_shyrochyn_th.jpg,Main façade of the Chernihiv youth library before the war,,,Main façade of the Chernihiv youth library before the war,
img_006,obj_004,Tarnovsky House (Youth Library),,Ministry of Internal affairs of Ukraine,,Ministry of Internal affairs of Ukraine,,The damaged building of Chernihiv youth library,,2022-03-11,,,Чернігів / Chernihiv,,,,chernihiv_library_ministry,Image;StillImage,image/jpeg,,,,image,/objects/chernihiv_library_ministry.jpg,/objects/small/chernihiv_library_ministry_sm.jpg,/objects/thumbs/chernihiv_library_ministry_th.jpg,The damaged building of Chernihiv youth library,,,The damaged building of Chernihiv youth library,
img_008,obj_007,Drama Theatre,"Olexandra Krylova, Oleg Malyshenko",Semen Shyrochyn,Semen Shyrochyn,,Main façade of the Chernihiv Drama theater before the war,,1959,,,,Чернігів / Chernihiv,,,,chernihiv_theatre_semen_shyrochyn,Image;StillImage,image/jpeg,,,,image,/objects/chernihiv_theatre_semen_shyrochyn.jpg,/objects/small/chernihiv_theatre_semen_shyrochyn_sm.jpg,/objects/thumbs/chernihiv_theatre_semen_shyrochyn_th.jpg,Main façade of the Chernihiv Drama theater before the war,,,Main façade of the Chernihiv Drama theater before the war,
img_009,obj_007,Drama Theatre,"Olexandra Krylova, Oleg Malyshenko",Suspile Chernihiv,,Suspile Chernihiv,,Aerial view of the Chernihiv Drama theater after the strike,,2023-08-19,,,Чернігів / Chernihiv,,,,chernihiv_theatre_suspilne_chernihiv,Image;StillImage,image/jpeg,,,,image,/objects/chernihiv_theatre_suspilne_chernihiv.jpg,/objects/small/chernihiv_theatre_suspilne_chernihiv_sm.jpg,/objects/thumbs/chernihiv_theatre_suspilne_chernihiv_th.jpg,Aerial view of the Chernihiv Drama theater after the strike,,,Aerial view of the Chernihiv Drama theater after the strike,
img_011,obj_010,House Of Officers,Joseph Karakis,Semen Shyrochyn,Semen Shyrochyn,,"Main façade of the House of Officers, 2008",,1940,,,,Вінниця / Vynnitsya,,,,vynnitsya_semen_shyrochyn,Image;StillImage,image/jpeg,,,,image,/objects/vynnitsya_semen_shyrochyn.jpg,/objects/small/vynnitsya_semen_shyrochyn_sm.jpg,/objects/thumbs/vynnitsya_semen_shyrochyn_th.jpg,"Main façade of the House of Officers, 2008",,,"Main façade of the House of Officers, 2008",
img_012,obj_010,House Of Officers,Joseph Karakis,president.gov.ua,,president.gov.ua,,Aerial view of the House of Officers after the strike,,2022-07-14,,,Вінниця / Vynnitsya,,,,vynnitsya_president_gov_ua,Image;StillImage,image/jpeg,,,,image,/objects/vynnitsya_president_gov_ua.jpg,/objects/small/vynnitsya_president_gov_ua_sm.jpg,/objects/thumbs/vynnitsya_president_gov_ua_th.jpg,Aerial view of the House of Officers after the strike,,,Aerial view of the House of Officers after the strike,
img_014,obj_013,Bus Station,Volodymyr Vesnin,dp.informator.ua,dp.informator.ua,,Aerial view of the Bus station before the attack,,1993,,,,Дніпро / Dnipro,,,,dnipro_bus_station_dp_informator_ua,Image;StillImage,image/jpeg,,,,image,/objects/dnipro_bus_station_dp_informator_ua.jpg,/objects/small/dnipro_bus_station_dp_informator_ua_sm.jpg,/objects/thumbs/dnipro_bus_station_dp_informator_ua_th.jpg,Aerial view of the Bus station before the attack,,,Aerial view of the Bus station before the attack,
img_015,obj_013,Bus Station,Volodymyr Vesnin,Mykola Synelnykov (REUTERS),,Mykola Synelnykov (REUTERS),,Ruins of the bus station on the day of the attack,,2023-08-24,,,Дніпро / Dnipro,,,,dnipro_bus_station_mykola_synelnykov(reuters),Image;StillImage,image/jpeg,,,,image,/objects/dnipro_bus_station_mykola_synelnykov(reuters).jpg,/objects/small/dnipro_bus_station_mykola_synelnykov(reuters)_sm.jpg,/objects/thumbs/dnipro_bus_station_mykola_synelnykov(reuters)_th.jpg,Ruins of the bus station on the day of the attack,,,Ruins of the bus station on the day of the attack,
img_017,obj_016,Ice Sports Palace,"M. A. Aistov, Yu. A. Regentov, S. N. Badmaeva",Olexandr Yakubenko,Olexandr Yakubenko,,Ice Sports palace before the war,,1970-1975,,,,Сєвєродонецьк / Severodonetsk,,,,severodonetsk_ice_palace(olexandr_yakubenko),Image;StillImage,image/jpeg,,,,image,/objects/severodonetsk_ice_palace(olexandr_yakubenko).jpg,/objects/small/severodonetsk_ice_palace(olexandr_yakubenko)_sm.jpg,/objects/thumbs/severodonetsk_ice_palace(olexandr_yakubenko)_th.jpg,Ice Sports palace before the war,,,Ice Sports palace before the war,
img_018,obj_016,Ice Sports Palace,"M. A. Aistov, Yu. A. Regentov, S. N. Badmaeva",vchaspik.ua,,vchaspik.ua,,Ruins of Ice Sports Palace,,2022-06-01,,,Сєвєродонецьк / Severodonetsk,,,,severodonetsk_ice_palace(vchaspik_ua),Image;StillImage,image/jpeg,,,,image,/objects/severodonetsk_ice_palace(vchaspik_ua).jpg,/objects/small/severodonetsk_ice_palace(vchaspik_ua)_sm.jpg,/objects/thumbs/severodonetsk_ice_palace(vchaspik_ua)_th.jpg,Ruins of Ice Sports Palace,,,Ruins of Ice Sports Palace,
img_020,obj_019,Joseph Lev House On Zhylianska Street,,Semen Shyrochyn,Semen Shyrochyn,,Josehp Lev house before the war,,1899-1900,,,,Київ / Kyiv,,,,kyiv_zhylianska_semen_shyrochyn,Image;StillImage,image/jpeg,,,,image,/objects/kyiv_zhylianska_semen_shyrochyn.jpg,/objects/small/kyiv_zhylianska_semen_shyrochyn_sm.jpg,/objects/thumbs/kyiv_zhylianska_semen_shyrochyn_th.jpg,Josehp Lev house before the war,,,Josehp Lev house before the war,
img_021,obj_019,Joseph Lev House On Zhylianska Street,,sviydim.media,,sviydim.media,,Josehp Lev house in ruins,,2022-10-17,,,Київ / Kyiv,,,,kyiv_zhylianska_sviydim_media,Image;StillImage,image/jpeg,,,,image,/objects/kyiv_zhylianska_sviydim_media.jpg,/objects/small/kyiv_zhylianska_sviydim_media_sm.jpg,/objects/thumbs/kyiv_zhylianska_sviydim_media_th.jpg,Josehp Lev house in ruins,,,Josehp Lev house in ruins,
img_023,obj_022,Zaporozhstal Factory House,"Volodymyr Pohorelov, Esfir Belman",Semen Shyrochyn,Semen Shyrochyn,,Zaporozhstal factory house before the war,,1955,,,,Запоріжжя / Zaporizhzhia,,,,zaporizhzhia_151_semen_shyrochyn,Image;StillImage,image/jpeg,,,,image,/objects/zaporizhzhia_151_semen_shyrochyn.jpg,/objects/small/zaporizhzhia_151_semen_shyrochyn_sm.jpg,/objects/thumbs/zaporizhzhia_151_semen_shyrochyn_th.jpg,Zaporozhstal factory house before the war,,,Zaporozhstal factory house before the war,
img_024,obj_022,Zaporozhstal Factory House,"Volodymyr Pohorelov, Esfir Belman",zprz.city,,zprz.city,,Zaporozhstal factory house on the day of attack,,2022-10-06,,,Запоріжжя / Zaporizhzhia,,,,zaporizhzhia_151_zprz_city,Image;StillImage,image/jpeg,,,,image,/objects/zaporizhzhia_151_zprz_city.jpg,/objects/small/zaporizhzhia_151_zprz_city_sm.jpg,/objects/thumbs/zaporizhzhia_151_zprz_city_th.jpg,Zaporozhstal factory house on the day of attack,,,Zaporozhstal factory house on the day of attack,
img_026,obj_025,Kahovska Power Plant,Georgy Orlov,uhe.gov.ua,uhe.gov.ua,,Aerial view of the Kahovska power plant machine hall before the war,,1952-1955,,,,Нова Каховка / Nova Kakhovka,,,,kahovka_ges_uhe_gov_ua,Image;StillImage,image/jpeg,,,,image,/objects/kahovka_ges_uhe_gov_ua.jpg,/objects/small/kahovka_ges_uhe_gov_ua_sm.jpg,/objects/thumbs/kahovka_ges_uhe_gov_ua_th.jpg,Aerial view of the Kahovska power plant machine hall before the war,,,Aerial view of the Kahovska power plant machine hall before the war,
img_027,obj_025,Kahovska Power Plant,Georgy Orlov,news.obozrevatel.com,,news.obozrevatel.com,,Ruins of the demolished Kahovska power plant,,2023-06-06,,,Нова Каховка / Nova Kakhovka,,,,kahovka_ges_news_obozrevatel_com,Image;StillImage,image/jpeg,,,,image,/objects/kahovka_ges_news_obozrevatel_com.jpg,/objects/small/kahovka_ges_news_obozrevatel_com_sm.jpg,/objects/thumbs/kahovka_ges_news_obozrevatel_com_th.jpg,Ruins of the demolished Kahovska power plant,,,Ruins of the demolished Kahovska power plant,
img_029,obj_028,Dniprohes Machine Hall,Viktor Vesnin,Oleksandr Malyon,Oleksandr Malyon,,DniproHES machine hall before the war,,1930-1932,,,,Запоріжжя / Zaporizhzhia,,,,zaporizhzhia_dnoproges_oleksandr_malyon,Image;StillImage,image/jpeg,,,,image,/objects/zaporizhzhia_dnoproges_oleksandr_malyon.jpg,/objects/small/zaporizhzhia_dnoproges_oleksandr_malyon_sm.jpg,/objects/thumbs/zaporizhzhia_dnoproges_oleksandr_malyon_th.jpg,DniproHES machine hall before the war,,,DniproHES machine hall before the war,
img_030,obj_028,Dniprohes Machine Hall,Viktor Vesnin,president.gov.ua,,president.gov.ua,,Inside the ruined DniproHES machine hall,,2023-02-10,,,Запоріжжя / Zaporizhzhia,,,,zaporizhzhia_dnoproges_president_gov_ua,Image;StillImage,image/jpeg,,,,image,/objects/zaporizhzhia_dnoproges_president_gov_ua.jpg,/objects/small/zaporizhzhia_dnoproges_president_gov_ua_sm.jpg,/objects/thumbs/zaporizhzhia_dnoproges_president_gov_ua_th.jpg,Inside the ruined DniproHES machine hall,,,Inside the ruined DniproHES machine hall,
img_032,obj_031,Lysychansk Gymnasium,,Serhii Hayday,Serhii Hayday,,Gymnasium before the war,,1895,,,,Лисичанськ / Lysychansk,,,,lysychansk_gymnasium_before_serhii_hayday,Image;StillImage,image/jpeg,,,,image,/objects/lysychansk_gymnasium_before_serhii_hayday.jpg,/objects/small/lysychansk_gymnasium_before_serhii_hayday_sm.jpg,/objects/thumbs/lysychansk_gymnasium_before_serhii_hayday_th.jpg,Gymnasium before the war,,,Gymnasium before the war,
img_033,obj_031,Lysychansk Gymnasium,,Serhii Hayday,,Serhii Hayday,,Gymnasium during the fire,,2022-05-01,,,Лисичанськ / Lysychansk,,,,lysychansk_gymnasium_after_serhii_hayday,Image;StillImage,image/jpeg,,,,image,/objects/lysychansk_gymnasium_after_serhii_hayday.jpg,/objects/small/lysychansk_gymnasium_after_serhii_hayday_sm.jpg,/objects/thumbs/lysychansk_gymnasium_after_serhii_hayday_th.jpg,Gymnasium during the fire,,,Gymnasium during the fire,
img_035,obj_034,Palace Of Engineers And Technicians,"Vladyslav Fadeichev, Boris Dzbanovskyi, Yevhen Ivanov",donmining.info,donmining.info,,Palace in the 1950-s,,1953,,,,Лисичанськ / Lysychansk,,,,lysychansk_itr_donmining_info,Image;StillImage,image/jpeg,,,,image,/objects/lysychansk_itr_donmining_info.jpg,/objects/small/lysychansk_itr_donmining_info_sm.jpg,/objects/thumbs/lysychansk_itr_donmining_info_th.jpg,Palace in the 1950-s,,,Palace in the 1950-s,
img_036,obj_034,Palace Of Engineers And Technicians,"Vladyslav Fadeichev, Boris Dzbanovskyi, Yevhen Ivanov",vchaspik.ua,,vchaspik.ua,,"Ruins of the palace, 2022",,2022-06-15,,,Лисичанськ / Lysychansk,,,,lysychansk_itr_vchaspik_ua,Image;StillImage,image/jpeg,,,,image,/objects/lysychansk_itr_vchaspik_ua.jpg,/objects/small/lysychansk_itr_vchaspik_ua_sm.jpg,/objects/thumbs/lysychansk_itr_vchaspik_ua_th.jpg,"Ruins of the palace, 2022",,,"Ruins of the palace, 2022",
img_038,obj_037,Kostyantynivka City Administration,Emmanuil Kodnir,konstrada.gov.ua,konstrada.gov.ua,,"City administration before the war, 2016",,1934-1935,,,,Костянтинівка / Kostyantynivka,,,,kostyantynivka_administration_konstrada_gov_ua,Image;StillImage,image/jpeg,,,,image,/objects/kostyantynivka_administration_konstrada_gov_ua.jpg,/objects/small/kostyantynivka_administration_konstrada_gov_ua_sm.jpg,/objects/thumbs/kostyantynivka_administration_konstrada_gov_ua_th.jpg,"City administration before the war, 2016",,,"City administration before the war, 2016",
img_039,obj_037,Kostyantynivka City Administration,Emmanuil Kodnir,Donetsk Regional State Administration,,Donetsk Regional State Administration,,"Damaged city administration building, 2024",,2024-10-06,,,Костянтинівка / Kostyantynivka,,,,kostyantynivka_administration_oda,Image;StillImage,image/jpeg,,,,image,/objects/kostyantynivka_administration_oda.jpg,/objects/small/kostyantynivka_administration_oda_sm.jpg,/objects/thumbs/kostyantynivka_administration_oda_th.jpg,"Damaged city administration building, 2024",,,"Damaged city administration building, 2024",
img_041,obj_040,Kharkiv Regional Administration,"Volodymyr Orekhov, Venyamin Kostenko",Semen Shyrochyn,Semen Shyrochyn,,"Regional administration before the war, 2018",,1951-1954,,,,Харків / Kharkiv,,,,kharkiv_oda_shyrochyn,Image;StillImage,image/jpeg,,,,image,/objects/kharkiv_oda_shyrochyn.jpg,/objects/small/kharkiv_oda_shyrochyn_sm.jpg,/objects/thumbs/kharkiv_oda_shyrochyn_th.jpg,"Regional administration before the war, 2018",,,"Regional administration before the war, 2018",
img_042,obj_040,Kharkiv Regional Administration,"Volodymyr Orekhov, Venyamin Kostenko",MNS.GOV.UA,,MNS.GOV.UA,,"Ruins of building, 2022",,2022-03-01,,,Харків / Kharkiv,,,,kharkiv_oda_mns_gov_ua,Image;StillImage,image/jpeg,,,,image,/objects/kharkiv_oda_mns_gov_ua.jpg,/objects/small/kharkiv_oda_mns_gov_ua_sm.jpg,/objects/thumbs/kharkiv_oda_mns_gov_ua_th.jpg,"Ruins of building, 2022",,,"Ruins of building, 2022",
img_044,obj_043,Mykolaiv Regional Administration,"Svitlana Fadeeva, Petro Kazmerchuk",dnabb.org,dnabb.org,,"Administration building right after completion, 1981",,1981,,,,Миколаїв / Mykolaiv,,,,mykolaiv_oda_dnabb,Image;StillImage,image/jpeg,,,,image,/objects/mykolaiv_oda_dnabb.jpg,/objects/small/mykolaiv_oda_dnabb_sm.jpg,/objects/thumbs/mykolaiv_oda_dnabb_th.jpg,"Administration building right after completion, 1981",,,"Administration building right after completion, 1981",
img_045,obj_043,Mykolaiv Regional Administration,"Svitlana Fadeeva, Petro Kazmerchuk",Dsns.gov.ua,,Dsns.gov.ua,,"Ruins of building, 2022",,2022-03-29,,,Миколаїв / Mykolaiv,,,,mykolaiv_oda_dsns,Image;StillImage,image/jpeg,,,,image,/objects/mykolaiv_oda_dsns.jpg,/objects/small/mykolaiv_oda_dsns_sm.jpg,/objects/thumbs/mykolaiv_oda_dsns_th.jpg,"Ruins of building, 2022",,,"Ruins of building, 2022",
img_047,obj_046,Housing For Polytechnicians,Mihal Ryba,Roman Baluk,Roman Baluk,,"Ruins of building, 2022",,1930,,,,Львів / Lviv,,,,lviv_polytechnic_baluk_ruined,Image;StillImage,image/jpeg,,,,image,/objects/lviv_polytechnic_baluk_ruined.jpg,/objects/small/lviv_polytechnic_baluk_ruined_sm.jpg,/objects/thumbs/lviv_polytechnic_baluk_ruined_th.jpg,"Ruins of building, 2022",,,"Ruins of building, 2022",
img_048,obj_046,Housing For Polytechnicians,Mihal Ryba,Roman Baluk,,Roman Baluk,,"Restored building, 2024",,2023-07-06,,,Львів / Lviv,,,,lviv_polytechnic_baluk_restored,Image;StillImage,image/jpeg,,,,image,/objects/lviv_polytechnic_baluk_restored.jpg,/objects/small/lviv_polytechnic_baluk_restored_sm.jpg,/objects/thumbs/lviv_polytechnic_baluk_restored_th.jpg,"Restored building, 2024",,,"Restored building, 2024",
img_050,obj_049,Spaso-Preobrazhensky Cathedral,Vikentiy Vanrezant,Semen Shyrochyn,Semen Shyrochyn,,"Cathedral before the war, 2013",,"1804-1808, 1999-2003",,,,Одеса / Odesa,,,,odessa_sobor_shyrochyn,Image;StillImage,image/jpeg,,,,image,/objects/odessa_sobor_shyrochyn.jpg,/objects/small/odessa_sobor_shyrochyn_sm.jpg,/objects/thumbs/odessa_sobor_shyrochyn_th.jpg,"Cathedral before the war, 2013",,,"Cathedral before the war, 2013",
img_051,obj_049,Spaso-Preobrazhensky Cathedral,Vikentiy Vanrezant,president.gov.ua,,president.gov.ua,,"Cathedral after attack, 2023",,2023-07-23,,,Одеса / Odesa,,,,odessa_sobor_president_gov_ua,Image;StillImage,image/jpeg,,,,image,/objects/odessa_sobor_president_gov_ua.jpg,/objects/small/odessa_sobor_president_gov_ua_sm.jpg,/objects/thumbs/odessa_sobor_president_gov_ua_th.jpg,"Cathedral after attack, 2023",,,"Cathedral after attack, 2023",
img_053,obj_052,St. George Church,,Ivan Bykov,Ivan Bykov,,Church before the war,,1873,,,,Заворичі / Zavorychi,,,,zavorychi_bykov,Image;StillImage,image/jpeg,,,,image,/objects/zavorychi_bykov.jpg,/objects/small/zavorychi_bykov_sm.jpg,/objects/thumbs/zavorychi_bykov_th.jpg,Church before the war,,,Church before the war,
img_054,obj_052,St. George Church,,Ukrinform,,Ukrinform,,The fire that destroyed the church,,2022-03-07,,,Заворичі / Zavorychi,,,,zavorychi_ukrinform,Image;StillImage,image/jpeg,,,,image,/objects/zavorychi_ukrinform.jpg,/objects/small/zavorychi_ukrinform_sm.jpg,/objects/thumbs/zavorychi_ukrinform_th.jpg,The fire that destroyed the church,,,The fire that destroyed the church,
img_056,obj_055,Church Of The Nativity Of The Blessed Virgin Mary,,zhitomir.info,zhitomir.info,,Church before the war,,1862,,,,В'язівка / Vyazivka,,,,vyazivka_zhitomir_info_1,Image;StillImage,image/jpeg,,,,image,/objects/vyazivka_zhitomir_info_1.jpg,/objects/small/vyazivka_zhitomir_info_1_sm.jpg,/objects/thumbs/vyazivka_zhitomir_info_1_th.jpg,Church before the war,,,Church before the war,
img_057,obj_055,Church Of The Nativity Of The Blessed Virgin Mary,,zhitomir.info,,zhitomir.info,,"Ruins of the church, 2022",,2022-03-07,,,В'язівка / Vyazivka,,,,vyazivka_zhitomir_info_2,Image;StillImage,image/jpeg,,,,image,/objects/vyazivka_zhitomir_info_2.jpg,/objects/small/vyazivka_zhitomir_info_2_sm.jpg,/objects/thumbs/vyazivka_zhitomir_info_2_th.jpg,"Ruins of the church, 2022",,,"Ruins of the church, 2022",
img_059,obj_058,House Of Abrasive Plant Workers,Georgiy Vegman,Semen Shyrochyn,Semen Shyrochyn,,"Building before the war, 2021",,1955,,,,Запоріжжя / Zaporizhzhia,,,,zaporizhzhia_sobor44_shyrochyn,Image;StillImage,image/jpeg,,,,image,/objects/zaporizhzhia_sobor44_shyrochyn.jpg,/objects/small/zaporizhzhia_sobor44_shyrochyn_sm.jpg,/objects/thumbs/zaporizhzhia_sobor44_shyrochyn_th.jpg,"Building before the war, 2021",,,"Building before the war, 2021",
img_060,obj_058,House Of Abrasive Plant Workers,Georgiy Vegman,1news.zp.ua,,1news.zp.ua,,"Ruins of building, 2023",,2023-10-18,,,Запоріжжя / Zaporizhzhia,,,,zaporizhzhia_sobor44_1news_zp_ua,Image;StillImage,image/jpeg,,,,image,/objects/zaporizhzhia_sobor44_1news_zp_ua.jpg,/objects/small/zaporizhzhia_sobor44_1news_zp_ua_sm.jpg,/objects/thumbs/zaporizhzhia_sobor44_1news_zp_ua_th.jpg,"Ruins of building, 2023",,,"Ruins of building, 2023",
img_062,obj_061,Drama Theatre,"Oleksandra Krylova, Oleg Malyshenko",Semen Shyrochyn,Semen Shyrochyn,,"Building before the war, 2021",,1956-1960,,,,Маріуполь / Mariupol,,,,mariupol_theatre_shyrochyn,Image;StillImage,image/jpeg,,,,image,/objects/mariupol_theatre_shyrochyn.jpg,/objects/small/mariupol_theatre_shyrochyn_sm.jpg,/objects/thumbs/mariupol_theatre_shyrochyn_th.jpg,"Building before the war, 2021",,,"Building before the war, 2021",
img_063,obj_061,Drama Theatre,"Oleksandra Krylova, Oleg Malyshenko",Reuters,,Reuters,,"Damaged theatre building, 2022",,2022-03-16,,,Маріуполь / Mariupol,,,,mariupol_theatre_reuters,Image;StillImage,image/jpeg,,,,image,/objects/mariupol_theatre_reuters.jpg,/objects/small/mariupol_theatre_reuters_sm.jpg,/objects/thumbs/mariupol_theatre_reuters_th.jpg,"Damaged theatre building, 2022",,,"Damaged theatre building, 2022",
img_065,obj_064,House With The Clock,,informator.ua,informator.ua,,House with a clock before the war,,1950-s,,,,Маріуполь / Mariupol,,,,mariupol_clock_before_informator_ua,Image;StillImage,image/jpeg,,,,image,/objects/mariupol_clock_before_informator_ua.jpg,/objects/small/mariupol_clock_before_informator_ua_sm.jpg,/objects/thumbs/mariupol_clock_before_informator_ua_th.jpg,House with a clock before the war,,,House with a clock before the war,
img_066,obj_064,House With The Clock,,informator.ua,,informator.ua,,"House after demolition, 2022",,2023-01-27,,,Маріуполь / Mariupol,,,,mariupol_clock_after_informator_ua,Image;StillImage,image/jpeg,,,,image,/objects/mariupol_clock_after_informator_ua.jpg,/objects/small/mariupol_clock_after_informator_ua_sm.jpg,/objects/thumbs/mariupol_clock_after_informator_ua_th.jpg,"House after demolition, 2022",,,"House after demolition, 2022",
img_068,obj_067,Railway Station,Oscar Pleskov,modernism.in.ua,modernism.in.ua,,"Railway station on the old postard, 1980-s",,1974,,,,Маріуполь / Mariupol,,,,mariupol_railway_modernism_in_ua,Image;StillImage,image/jpeg,,,,image,/objects/mariupol_railway_modernism_in_ua.jpg,/objects/small/mariupol_railway_modernism_in_ua_sm.jpg,/objects/thumbs/mariupol_railway_modernism_in_ua_th.jpg,"Railway station on the old postard, 1980-s",,,"Railway station on the old postard, 1980-s",
img_069,obj_067,Railway Station,Oscar Pleskov,Reuters,,Reuters,,"Damaged building after demolition, april 2022",,2022-07-24,,,Маріуполь / Mariupol,,,,mariupol_railway_reuters,Image;StillImage,image/jpeg,,,,image,/objects/mariupol_railway_reuters.jpg,/objects/small/mariupol_railway_reuters_sm.jpg,/objects/thumbs/mariupol_railway_reuters_th.jpg,"Damaged building after demolition, april 2022",,,"Damaged building after demolition, april 2022",
img_071,obj_070,Railway Technical School (Former City Administration),,Mykhaylo Kulishov,Mykhaylo Kulishov,,"Building before the war, 2018",,1898,,,,Бахмут / Bakhmut,,,,bakhmut_zemska_before_mykhaylo_kulishov,Image;StillImage,image/jpeg,,,,image,/objects/bakhmut_zemska_before_mykhaylo_kulishov.jpg,/objects/small/bakhmut_zemska_before_mykhaylo_kulishov_sm.jpg,/objects/thumbs/bakhmut_zemska_before_mykhaylo_kulishov_th.jpg,"Building before the war, 2018",,,"Building before the war, 2018",
img_072,obj_070,Railway Technical School (Former City Administration),,Dsns.gov.ua,,Dsns.gov.ua,,"Building at fire, 14th october 2022",,2022-10-14,,,Бахмут / Bakhmut,,,,bakhmut_zemska_fire_dsns,Image;StillImage,image/jpeg,,,,image,/objects/bakhmut_zemska_fire_dsns.jpg,/objects/small/bakhmut_zemska_fire_dsns_sm.jpg,/objects/thumbs/bakhmut_zemska_fire_dsns_th.jpg,"Building at fire, 14th october 2022",,,"Building at fire, 14th october 2022",
img_074,obj_073,Center For Children And Youth (Former Bank),Mihail Polyakov,hyacint,hyacint,,Building before the war,,1906,,,,Бахмут / Bakhmut,,,,bakhmut_city_childrens_and_youth_center_before_hyacint,Image;StillImage,image/jpeg,,,,image,/objects/bakhmut_city_childrens_and_youth_center_before_hyacint.jpg,/objects/small/bakhmut_city_childrens_and_youth_center_before_hyacint_sm.jpg,/objects/thumbs/bakhmut_city_childrens_and_youth_center_before_hyacint_th.jpg,Building before the war,,,Building before the war,
