title,description,subsection,location,latitude,longitude,source,type,format,language,rights,rightsstatement,object_thumb,object_location,reference_url
"Joseph Lev House On Zhylianska Street","","","Київ / Kyiv","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kyiv_zhylianska_sviydim_media_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kyiv_zhylianska_sviydim_media.jpg",/items/obj_019.html#img_021
"Zaporozhstal Factory House","","","Запоріжжя / Zaporizhzhia","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/zaporizhzhia_151_semen_shyrochyn_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/zaporizhzhia_151_semen_shyrochyn.jpg",/items/obj_022.html#img_023
"Zaporozhstal Factory House","","","Запоріжжя / Zaporizhzhia","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/zaporizhzhia_151_zprz_city_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/zaporizhzhia_151_zprz_city.jpg",/items/obj_022.html#img_024
"Kahovska Power Plant","","","Нова Каховка / Nova Kakhovka","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kahovka_ges_uhe_gov_ua_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kahovka_ges_uhe_gov_ua.jpg",/items/obj_025.html#img_026
"Kahovska Power Plant","","","Нова Каховка / Nova Kakhovka","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kahovka_ges_news_obozrevatel_com_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kahovka_ges_news_obozrevatel_com.jpg",/items/obj_025.html#img_027
"Dniprohes Machine Hall","","","Запоріжжя / Zaporizhzhia","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/zaporizhzhia_dnoproges_oleksandr_malyon_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/zaporizhzhia_dnoproges_oleksandr_malyon.jpg",/items/obj_028.html#img_029
"Dniprohes Machine Hall","","","Запоріжжя / Zaporizhzhia","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/zaporizhzhia_dnoproges_president_gov_ua_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/zaporizhzhia_dnoproges_president_gov_ua.jpg",/items/obj_028.html#img_030
"Lysychansk Gymnasium","","","Лисичанськ / Lysychansk","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/lysychansk_gymnasium_before_serhii_hayday_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/lysychansk_gymnasium_before_serhii_hayday.jpg",/items/obj_031.html#img_032
"Lysychansk Gymnasium","","","Лисичанськ / Lysychansk","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/lysychansk_gymnasium_after_serhii_hayday_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/lysychansk_gymnasium_after_serhii_hayday.jpg",/items/obj_031.html#img_033
"Palace Of Engineers And Technicians","","","Лисичанськ / Lysychansk","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/lysychansk_itr_donmining_info_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/lysychansk_itr_donmining_info.jpg",/items/obj_034.html#img_035
"Palace Of Engineers And Technicians","","","Лисичанськ / Lysychansk","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/lysychansk_itr_vchaspik_ua_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/lysychansk_itr_vchaspik_ua.jpg",/items/obj_034.html#img_036
"Kostyantynivka City Administration","","","Костянтинівка / Kostyantynivka","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kostyantynivka_administration_konstrada_gov_ua_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kostyantynivka_administration_konstrada_gov_ua.jpg",/items/obj_037.html#img_038
"Kostyantynivka City Administration","","","Костянтинівка / Kostyantynivka","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kostyantynivka_administration_oda_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kostyantynivka_administration_oda.jpg",/items/obj_037.html#img_039
"Kharkiv Regional Administration","","","Харків / Kharkiv","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kharkiv_oda_shyrochyn_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kharkiv_oda_shyrochyn.jpg",/items/obj_040.html#img_041
"Kharkiv Regional Administration","","","Харків / Kharkiv","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kharkiv_oda_mns_gov_ua_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kharkiv_oda_mns_gov_ua.jpg",/items/obj_040.html#img_042
"Mykolaiv Regional Administration","","","Миколаїв / Mykolaiv","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/mykolaiv_oda_dnabb_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/mykolaiv_oda_dnabb.jpg",/items/obj_043.html#img_044
"Mykolaiv Regional Administration","","","Миколаїв / Mykolaiv","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/mykolaiv_oda_dsns_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/mykolaiv_oda_dsns.jpg",/items/obj_043.html#img_045
"Housing For Polytechnicians","","","Львів / Lviv","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/lviv_polytechnic_baluk_ruined_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/lviv_polytechnic_baluk_ruined.jpg",/items/obj_046.html#img_047
"Housing For Polytechnicians","","","Львів / Lviv","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/lviv_polytechnic_baluk_restored_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/lviv_polytechnic_baluk_restored.jpg",/items/obj_046.html#img_048
"Spaso-Preobrazhensky Cathedral","","","Одеса / Odesa","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/odessa_sobor_shyrochyn_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/odessa_sobor_shyrochyn.jpg",/items/obj_049.html#img_050
"Spaso-Preobrazhensky Cathedral","","","Одеса / Odesa","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/odessa_sobor_president_gov_ua_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/odessa_sobor_president_gov_ua.jpg",/items/obj_049.html#img_051
"St. George Church","","","Заворичі / Zavorychi","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/zavorychi_bykov_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/zavorychi_bykov.jpg",/items/obj_052.html#img_053
"St. George Church","","","Заворичі / Zavorychi","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/zavorychi_ukrinform_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/zavorychi_ukrinform.jpg",/items/obj_052.html#img_054
"Church Of The Nativity Of The Blessed Virgin Mary","","","В&#39;язівка / Vyazivka","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/vyazivka_zhitomir_info_1_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/vyazivka_zhitomir_info_1.jpg",/items/obj_055.html#img_056
"Church Of The Nativity Of The Blessed Virgin Mary","","","В&#39;язівка / Vyazivka","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/vyazivka_zhitomir_info_2_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/vyazivka_zhitomir_info_2.jpg",/items/obj_055.html#img_057
"House Of Abrasive Plant Workers","","","Запоріжжя / Zaporizhzhia","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/zaporizhzhia_sobor44_shyrochyn_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/zaporizhzhia_sobor44_shyrochyn.jpg",/items/obj_058.html#img_059
"House Of Abrasive Plant Workers","","","Запоріжжя / Zaporizhzhia","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/zaporizhzhia_sobor44_1news_zp_ua_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/zaporizhzhia_sobor44_1news_zp_ua.jpg",/items/obj_058.html#img_060
"Drama Theatre","","","Маріуполь / Mariupol","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/mariupol_theatre_shyrochyn_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/mariupol_theatre_shyrochyn.jpg",/items/obj_061.html#img_062
"Drama Theatre","","","Маріуполь / Mariupol","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/mariupol_theatre_reuters_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/mariupol_theatre_reuters.jpg",/items/obj_061.html#img_063
"House With The Clock","","","Маріуполь / Mariupol","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/mariupol_clock_before_informator_ua_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/mariupol_clock_before_informator_ua.jpg",/items/obj_064.html#img_065
"House With The Clock","","","Маріуполь / Mariupol","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/mariupol_clock_after_informator_ua_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/mariupol_clock_after_informator_ua.jpg",/items/obj_064.html#img_066
"Railway Station","","","Маріуполь / Mariupol","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/mariupol_railway_modernism_in_ua_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/mariupol_railway_modernism_in_ua.jpg",/items/obj_067.html#img_068
"Railway Station","","","Маріуполь / Mariupol","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/mariupol_railway_reuters_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/mariupol_railway_reuters.jpg",/items/obj_067.html#img_069
"Railway Technical School (Former City Administration)","","","Бахмут / Bakhmut","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/bakhmut_zemska_before_mykhaylo_kulishov_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/bakhmut_zemska_before_mykhaylo_kulishov.jpg",/items/obj_070.html#img_071
"Railway Technical School (Former City Administration)","","","Бахмут / Bakhmut","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/bakhmut_zemska_fire_dsns_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/bakhmut_zemska_fire_dsns.jpg",/items/obj_070.html#img_072
"Center For Children And Youth (Former Bank)","","","Бахмут / Bakhmut","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/bakhmut_city_childrens_and_youth_center_before_hyacint_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/bakhmut_city_childrens_and_youth_center_before_hyacint.jpg",/items/obj_073.html#img_074
"Center For Children And Youth (Former Bank)","","","Бахмут / Bakhmut","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/bakhmut_city_childrens_and_youth_center_after_olexiy_reva_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/bakhmut_city_childrens_and_youth_center_after_olexiy_reva.jpg",/items/obj_073.html#img_075
"Residential House On Myru 42","","","Бахмут / Bakhmut","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/bakhmut_myru_42_1970_s_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/bakhmut_myru_42_1970_s.jpg",/items/obj_076.html#img_077
"Residential House On Myru 42","","","Бахмут / Bakhmut","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/bakhmut_myru_42_2023_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/bakhmut_myru_42_2023.jpg",/items/obj_076.html#img_078
"Railway Station","","","Бахмут / Bakhmut","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/bakhmut_railway_1913_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/bakhmut_railway_1913.jpg",/items/obj_079.html#img_080
"Railway Station","","","Бахмут / Bakhmut","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/bakhmut_railway_2023_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/bakhmut_railway_2023.jpg",/items/obj_079.html#img_081
"Regional Library","","","Херсон / Kherson","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kherson_library_before_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kherson_library_before.jpg",/items/obj_082.html#img_083
"Regional Library","","","Херсон / Kherson","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kherson_library_after_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kherson_library_after.jpg",/items/obj_082.html#img_084
"Yuvileyniy Concert Hall","","","Херсон / Kherson","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kherson_concert_hall_before_shyrochyn_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kherson_concert_hall_before_shyrochyn.jpg",/items/obj_085.html#img_086
"Yuvileyniy Concert Hall","","","Херсон / Kherson","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kherson_concert_hall_after_police_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kherson_concert_hall_after_police.jpg",/items/obj_085.html#img_087
"Maritime Academy","","","Херсон / Kherson","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kherson_academy_shyrochyn_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kherson_academy_shyrochyn.jpg",/items/obj_088.html#img_089
"Maritime Academy","","","Херсон / Kherson","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kherson_academy_suspilne_media_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kherson_academy_suspilne_media.jpg",/items/obj_088.html#img_090
"Palace Of Labour","","","Харків / Kharkiv","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kharkiv_palaceoflabour_v_kiryukhin_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kharkiv_palaceoflabour_v_kiryukhin.jpg",/items/obj_091.html#img_092
"Palace Of Labour","","","Харків / Kharkiv","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kharkiv_palaceoflabour_pavel_dorogoy_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kharkiv_palaceoflabour_pavel_dorogoy.jpg",/items/obj_091.html#img_093
"Palace Of Culture Of Railwaymen","","","Харків / Kharkiv","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kharkiv_railway_palace_1969_b_mindel_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kharkiv_railway_palace_1969_b_mindel.jpg",/items/obj_094.html#img_095
"Palace Of Culture Of Railwaymen","","","Харків / Kharkiv","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kharkiv_railway_palace_dmytro_kuzubov_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kharkiv_railway_palace_dmytro_kuzubov.jpg",/items/obj_094.html#img_096
"Maslovsky&#39;S Apartment Building","","","Харків / Kharkiv","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kharkiv_maslovsky_moniacs_kh_ua_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kharkiv_maslovsky_moniacs_kh_ua.jpg",/items/obj_097.html#img_098
"Maslovsky&#39;S Apartment Building","","","Харків / Kharkiv","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kharkiv_maslovsky_slovoidilo_ua_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kharkiv_maslovsky_slovoidilo_ua.jpg",/items/obj_097.html#img_099
"Palace Of Culture","","","Лозова / Lozova","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/lozova_palace_before_kharkivoda_gov_ua_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/lozova_palace_before_kharkivoda_gov_ua.jpg",/items/obj_100.html#img_101
"Palace Of Culture","","","Лозова / Lozova","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/lozova_palace_attack_suspilne_media_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/lozova_palace_attack_suspilne_media.jpg",/items/obj_100.html#img_102
"Railway Station","","","Охтирка / Okhtyrka","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/okhtyrka_railway_ui_org_ua_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/okhtyrka_railway_ui_org_ua.jpg",/items/obj_103.html#img_104
"Railway Station","","","Охтирка / Okhtyrka","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/okhtyrka_railway_railexpoua_com_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/okhtyrka_railway_railexpoua_com.jpg",/items/obj_103.html#img_105
"Skovoroda Museum","","","Сковородинівка / Skovorodynivka","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/skovorodynivka_2011_denis_vitchenko_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/skovorodynivka_2011_denis_vitchenko.jpg",/items/obj_106.html#img_107
"Skovoroda Museum","","","Сковородинівка / Skovorodynivka","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/skovorodynivka_chytomo_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/skovorodynivka_chytomo.jpg",/items/obj_106.html#img_108
"Residential House On Vokzalna Square","","","Дніпро / Dnipro","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/dnipro_vokzalna_shyrochyn_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/dnipro_vokzalna_shyrochyn.jpg",/items/obj_109.html#img_110
"Residential House On Vokzalna Square","","","Дніпро / Dnipro","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/dnipro_vokzalna_suspilne_media_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/dnipro_vokzalna_suspilne_media.jpg",/items/obj_109.html#img_111
"Residential House On Marat Street","","","Краматорськ / Kramatorsk","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kramatorsk_marata13_volodymyr_kotsarenko_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kramatorsk_marata13_volodymyr_kotsarenko.jpg",/items/obj_112.html#img_113
"Residential House On Marat Street","","","Краматорськ / Kramatorsk","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kramatorsk_marata13_ilya_andreev_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kramatorsk_marata13_ilya_andreev.jpg",/items/obj_112.html#img_114
"Okhmadyt Children&#39;S Hospital","","","Київ / Kyiv","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kyiv_okhmadyt_village_com_ua_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kyiv_okhmadyt_village_com_ua.jpg",/items/obj_115.html#img_116
"Okhmadyt Children&#39;S Hospital","","","Київ / Kyiv","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/kyiv_okhmadyt_moz_gov_ua_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/kyiv_okhmadyt_moz_gov_ua.jpg",/items/obj_115.html#img_117
"Palace Of Culture","","","Ірпінь / Irpin","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/irpin_club_shyrochyn_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/irpin_club_shyrochyn.jpg",/items/obj_118.html#img_119
"Palace Of Culture","","","Ірпінь / Irpin","","","","Image;StillImage","image/jpeg","","","","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/thumbs/irpin_club_yulia_mashuta_th.jpg","https://ukrainian-destroyed-heritage.leibniz-gwzo.de/objects/irpin_club_yulia_mashuta.jpg",/items/obj_118.html#img_120

